record_id,question_id,arm,original_workflow,original_abd_label,correction_label,original_abd_is_supported,correction_is_supported
E0505,70f2a750-f403-41b8-aabb-480eb3ab4ed4_4_20,B,2,unsupported,unsupported,False,False
E0781,71fbc5bf-7e2a-415d-86bc-3a948742e904_7_17,D,3,partially_supported,partially_supported,False,False
E0743,db3f7933-dfa0-4678-9d4f-393b628ded45_17_13,A,3,supported,supported,True,True
E0288,115774b6-534d-444f-b7aa-d1b834eb0ee7_2_4,D,1,unsupported,unsupported,False,False
E0657,41a86310-2cc1-48f9-b5b5-6b495a95fbac_8_11,D,3,supported,partially_supported,True,False
E0813,4572b198-2c1c-4920-bcf0-95fcebe12261_7_5,A,3,unsupported,unsupported,False,False
E0460,6fd90f8d-7a4d-425d-a812-3268db0b0342_11_29,B,2,unsupported,contradicted,False,False
E0738,115774b6-534d-444f-b7aa-d1b834eb0ee7_4_25,A,3,partially_supported,partially_supported,False,False
E0489,41a86310-2cc1-48f9-b5b5-6b495a95fbac_17_26,B,2,partially_supported,unsupported,False,False
E0339,a6d45e95-8dc0-4932-83bf-ec53e265a16a_17_3,D,2,partially_supported,unsupported,False,False
E0856,7e512589-aa97-41e8-83d3-af2e83e4fd06_17_10,B,3,partially_supported,unsupported,False,False
E0400,70f2a750-f403-41b8-aabb-480eb3ab4ed4_17_30,D,2,partially_supported,unsupported,False,False
E0311,7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_4_19,D,2,partially_supported,supported,False,True
E0892,70f2a750-f403-41b8-aabb-480eb3ab4ed4_8_2,D,3,unsupported,partially_supported,False,False
E0112,a6d45e95-8dc0-4932-83bf-ec53e265a16a_5_26,D,1,supported,contradicted,True,False
E0229,7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_8_10,A,1,contradicted,contradicted,False,False
E0775,7e512589-aa97-41e8-83d3-af2e83e4fd06_7_4,D,3,partially_supported,partially_supported,False,False
E0008,115774b6-534d-444f-b7aa-d1b834eb0ee7_3_21,A,1,partially_supported,unsupported,False,False
E0150,7e512589-aa97-41e8-83d3-af2e83e4fd06_22_11,D,1,supported,supported,True,True
E0072,71fbc5bf-7e2a-415d-86bc-3a948742e904_4_12,A,1,partially_supported,unsupported,False,False
E0756,7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_4_2,D,3,partially_supported,supported,False,True
E0440,db3f7933-dfa0-4678-9d4f-393b628ded45_17_1,A,2,unsupported,partially_supported,False,False
E0289,71fbc5bf-7e2a-415d-86bc-3a948742e904_8_8,B,1,unsupported,partially_supported,False,False
E0201,70f2a750-f403-41b8-aabb-480eb3ab4ed4_17_13,B,1,unsupported,unsupported,False,False
E0330,a6d45e95-8dc0-4932-83bf-ec53e265a16a_7_7,D,2,partially_supported,contradicted,False,False
E0122,70f2a750-f403-41b8-aabb-480eb3ab4ed4_17_8,B,1,supported,unsupported,True,False
E0429,4572b198-2c1c-4920-bcf0-95fcebe12261_4_3,D,2,supported,supported,True,True
E0872,41a86310-2cc1-48f9-b5b5-6b495a95fbac_6_27,D,3,partially_supported,partially_supported,False,False
E0524,819c8af7-851f-434f-ab32-318285bc54b1_18_6,D,2,partially_supported,partially_supported,False,False
E0593,819c8af7-851f-434f-ab32-318285bc54b1_3_12,B,2,partially_supported,partially_supported,False,False
E0152,71fbc5bf-7e2a-415d-86bc-3a948742e904_7_11,A,1,unsupported,unsupported,False,False
E0213,819c8af7-851f-434f-ab32-318285bc54b1_7_17,A,1,unsupported,unsupported,False,False
E0817,db3f7933-dfa0-4678-9d4f-393b628ded45_22_5,A,3,contradicted,contradicted,False,False
E0021,7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_8_18,D,1,supported,contradicted,True,False
E0762,41a86310-2cc1-48f9-b5b5-6b495a95fbac_7_39,A,3,unsupported,unsupported,False,False
E0668,6fd90f8d-7a4d-425d-a812-3268db0b0342_21_11,B,3,partially_supported,partially_supported,False,False
E0196,115774b6-534d-444f-b7aa-d1b834eb0ee7_6_2,A,1,unsupported,unsupported,False,False
E0705,6fd90f8d-7a4d-425d-a812-3268db0b0342_4_1,D,3,unsupported,supported,False,True
E0750,7e512589-aa97-41e8-83d3-af2e83e4fd06_6_15,D,3,contradicted,contradicted,False,False
E0666,db3f7933-dfa0-4678-9d4f-393b628ded45_17_1,D,3,partially_supported,supported,False,True
E0114,7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_8_13,B,1,partially_supported,unsupported,False,False
E0448,d3a0899e-2093-454c-9f65-30087883193a_8_21,A,2,supported,partially_supported,True,False
E0514,db3f7933-dfa0-4678-9d4f-393b628ded45_20_1,B,2,unsupported,unsupported,False,False
E0549,db3f7933-dfa0-4678-9d4f-393b628ded45_7_21,A,2,unsupported,unsupported,False,False
E0557,70f2a750-f403-41b8-aabb-480eb3ab4ed4_4_11,A,2,contradicted,partially_supported,False,False
E0786,6fd90f8d-7a4d-425d-a812-3268db0b0342_11_29,D,3,contradicted,contradicted,False,False
E0113,6fd90f8d-7a4d-425d-a812-3268db0b0342_15_2,D,1,supported,unsupported,True,False
E0622,7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_4_24,D,3,contradicted,contradicted,False,False
E0825,819c8af7-851f-434f-ab32-318285bc54b1_17_29,B,3,partially_supported,unsupported,False,False
E0532,7e512589-aa97-41e8-83d3-af2e83e4fd06_8_12,A,2,unsupported,contradicted,False,False
E0351,7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_11_14,D,2,partially_supported,contradicted,False,False
E0023,70f2a750-f403-41b8-aabb-480eb3ab4ed4_17_31,D,1,unsupported,contradicted,False,False
E0269,7e512589-aa97-41e8-83d3-af2e83e4fd06_3_26,D,1,supported,partially_supported,True,False
E0227,41a86310-2cc1-48f9-b5b5-6b495a95fbac_23_8,D,1,contradicted,contradicted,False,False
E0077,115774b6-534d-444f-b7aa-d1b834eb0ee7_17_12,B,1,partially_supported,unsupported,False,False
E0466,41a86310-2cc1-48f9-b5b5-6b495a95fbac_17_26,D,2,contradicted,contradicted,False,False
E0394,7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_11_17,D,2,partially_supported,contradicted,False,False
E0061,db3f7933-dfa0-4678-9d4f-393b628ded45_11_2,D,1,supported,contradicted,True,False
E0777,41a86310-2cc1-48f9-b5b5-6b495a95fbac_11_1,D,3,partially_supported,partially_supported,False,False
E0548,4572b198-2c1c-4920-bcf0-95fcebe12261_17_39,D,2,partially_supported,partially_supported,False,False
